event_id,event_title,event_date,article_count,unique_outlet_count,outlets_covering,representative_headline,event_summary,cluster_confidence,is_low_quality_event
EVT_00001,Congress on Tuesday said the allocation of the Parliamentary Affairs portfolio inspires no confidence whatsoever that Prime Minister,2024-06-12,1,1,['the_times_of_india'],Congress on Tuesday said the allocation of the Parliamentary Affairs portfolio inspires no confidence whatsoever that Prime Minister,"NEW DELHI: The
Congress on Tuesday said the allocation of the Parliamentary Affairs portfolio inspires no confidence whatsoever that Prime Minister
Narendra Modi wants Parliament to function any differently than how he has run it over the past decade. The opposition party asserted the INDIA bloc is ...",1.0,False
EVT_00002,NEW DELHI: As the National Democratic Alliance (NDA) govts were installed in two more states with Chandrababu Naidu and Mohan Charan Majhi taking oaths as chief ministers in,2024-06-13,1,1,['the_times_of_india'],NEW DELHI: As the National Democratic Alliance (NDA) govts were installed in two more states with Chandrababu Naidu and Mohan Charan Majhi taking oaths as chief ministers in,"NEW DELHI: As the National Democratic Alliance (NDA) govts were installed in two more states with Chandrababu Naidu and Mohan Charan Majhi taking oaths as chief ministers in
Andhra Pradesh and
Odisha respectively,
Prime Minister Narendra Modi on Wednesday expressed confidence that the new govts will...",1.0,False
EVT_00003,"Tamil Nadu is the graveyard of national political parties. It buried the Congress at its peak then in 1967. The BJP, also at its peak now, has been pregnant with possibilities but has failed to deliver. Never a serious player in the state before the ...",2026-03-13,1,1,['india_today'],"Tamil Nadu is the graveyard of national political parties. It buried the Congress at its peak then in 1967. The BJP, also at its peak now, has been pregnant with possibilities but has failed to deliver. Never a serious player in the state before the ...","Tamil Nadu is the graveyard of national political parties. It buried the Congress at its peak then in 1967. The BJP, also at its peak now, has been pregnant with possibilities but has failed to deliver. Never a serious player in the state before the dawn of the Modi-era, the BJP has been humbled in ...",1.0,False
EVT_00004,"As Rahul invokes Kanshi Ram, a look at UP CMs in Congress era, Nehru to Indira, Rajiv",2026-03-18,1,1,['indian_express'],"As Rahul invokes Kanshi Ram, a look at UP CMs in Congress era, Nehru to Indira, Rajiv","As Rahul invokes Kanshi Ram, a look at UP CMs in Congress era, Nehru to Indira, Rajiv
During the premiership of Nehru, Indira and Rajiv, Congress appointed 10 UP CMs, all of whom belonged to upper castes, with the selection ignoring social justice or equitable representation
While addressing a “Samv...",1.0,False
EVT_00005,"Back in Rajya Sabha, can Sharad Pawar reinvent himself, script new Opposition pushback against BJP?",2026-03-19,1,1,['indian_express'],"Back in Rajya Sabha, can Sharad Pawar reinvent himself, script new Opposition pushback against BJP?","Back in Rajya Sabha, can Sharad Pawar reinvent himself, script new Opposition pushback against BJP?
By not opposing him in RS poll, BJP sought to make a goodwill gesture to the patriarch of Maharashtra politics; it may also view NCP (SP)'s eight LS MPs as a “reserve” force which might come in handy ...",1.0,False
EVT_00006,"Amid Murmu protocol row, TMC vs BJP battle flares in Bengal tribal seats",2026-03-19,1,1,['indian_express'],"Amid Murmu protocol row, TMC vs BJP battle flares in Bengal tribal seats","Amid Murmu protocol row, TMC vs BJP battle flares in Bengal tribal seats
In the state's 16 ST-reserved Assembly seats, TMC and BJP were closely matched in 2021 Assembly elections as well as 2024 Lok Sabha polls.
With the BJP calling the alleged “protocol breach” during President Droupadi Murmu’s rec...",1.0,False
EVT_00008,Baijayant Panda interview: ‘People of Assam have had enough of impunity of law-breakers … CM Sarma is very blunt about language he uses’,2026-03-22,1,1,['indian_express'],Baijayant Panda interview: ‘People of Assam have had enough of impunity of law-breakers … CM Sarma is very blunt about language he uses’,"Baijayant Panda interview: ‘People of Assam have had enough of impunity of law-breakers … CM Sarma is very blunt about language he uses’
“Sarma’s rhetoric may sound sensational but crackdown on child marriage and eviction of illegal occupation are the commonly attributed aspects of the so-called pol...",1.0,False
EVT_00011,"20 interviews, 3 days: Pinarayi Vijayan opens up in media blitz, Sabarimala to CPI(M)-BJP ‘deal’",2026-03-26,1,1,['indian_express'],"20 interviews, 3 days: Pinarayi Vijayan opens up in media blitz, Sabarimala to CPI(M)-BJP ‘deal’","20 interviews, 3 days: Pinarayi Vijayan opens up in media blitz, Sabarimala to CPI(M)-BJP ‘deal’
These interviews are being seen in political circles as part of CPI(M)'s move for Pinarayi Vijayan's image makeover on poll eve in order to project him as a “candid, accessible and transparent” stalwart
...",1.0,False
EVT_00012,Welfare or freebies? Why sops define Tamil Nadu politics,2026-03-28,1,1,['indian_express'],Welfare or freebies? Why sops define Tamil Nadu politics,"Welfare or freebies? Why sops define Tamil Nadu politics
From Annadurai’s rice promise to MGR’s noon meals and Stalin’s rights-based transfers, the state has created a culture in which voters think of welfare not as charity but as a legitimate claim.
When Edappadi K Palaniswami unveiled the AIADMK’s...",1.0,False
EVT_00013,Behind Vijay’s seat choices on poll debut: A test of personal popularity and community equations,2026-03-29,1,1,['indian_express'],Behind Vijay’s seat choices on poll debut: A test of personal popularity and community equations,"Behind Vijay’s seat choices on poll debut: A test of personal popularity and community equations
For the upcoming Tamil Nadu elections, the superstar actor’s TVK has unveiled a candidates list that includes the party’s core team as well as several new entrants who joined during an overnight ‘seat-sh...",1.0,False
EVT_00014,"87 LDF, UDF strongholds since 2011: For Kerala polls, what the data holds",2026-03-29,1,1,['indian_express'],"87 LDF, UDF strongholds since 2011: For Kerala polls, what the data holds","87 LDF, UDF strongholds since 2011: For Kerala polls, what the data holds
In the last three Kerala Assembly polls, CPI(M) and CPI bagged 39 and 12 seats respectively, while Congress and IUML each won 12 and 14 seats
In an indication of the entrenched nature of electoral politics in Kerala, an analys...",1.0,False
EVT_00015,"Amid steep travel costs, SIR fears, Bengal migrants try to return home for a vote that feels vital",2026-03-30,1,1,['indian_express'],"Amid steep travel costs, SIR fears, Bengal migrants try to return home for a vote that feels vital","Amid steep travel costs, SIR fears, Bengal migrants try to return home for a vote that feels vital
Across cities, workers from the poll-bound state weigh lost wages and high fares against anxiety about losing their voting rights.
The West Bengal Assembly elections might be just less than a month awa...",1.0,False
EVT_00017,"Adhir Chowdhury’s second act: Back to Assembly battle after 35 years, ‘starting from scratch’",2026-03-31,1,1,['indian_express'],"Adhir Chowdhury’s second act: Back to Assembly battle after 35 years, ‘starting from scratch’","Adhir Chowdhury’s second act: Back to Assembly battle after 35 years, ‘starting from scratch’
Two years after losing the Lok Sabha polls, former five-time MP faces off against former aides in ""make-or-break"" battle in Baharampur
The late P V Narasimha Rao was the Prime Minister and the late Jyoti Ba...",1.0,False
EVT_00018,"As Ashwini Bhide takes over as BMC’s first woman chief, what is Fadnavis message in breaking glass ceiling",2026-04-01,1,1,['indian_express'],"As Ashwini Bhide takes over as BMC’s first woman chief, what is Fadnavis message in breaking glass ceiling","As Ashwini Bhide takes over as BMC’s first woman chief, what is Fadnavis message in breaking glass ceiling
In January 2024, while serving as Deputy CM with Home portfolio in Shinde government, Fadnavis had also appointed Rashmi Shukla as Maharashtra's first woman DGP
With the appointment of senior I...",1.0,False
EVT_00019,"Adhir Chowdhury interview: ‘Muslims will vote either for TMC or Congress, depending on winnability index’",2026-04-04,1,1,['indian_express'],"Adhir Chowdhury interview: ‘Muslims will vote either for TMC or Congress, depending on winnability index’","Adhir Chowdhury interview: ‘Muslims will vote either for TMC or Congress, depending on winnability index’
“This (SIR row) is a mockery of democracy being done by the EC and the Mamata Banerjee government. If necessary, elections may be deferred till all genuine voters are allowed to vote,” says the ...",1.0,False
EVT_00020,"Fear and alienation in Assam: As BJP sharpens ‘infiltrator’ pitch, eviction-hit voters hope for govt change",2026-04-05,1,1,['indian_express'],"Fear and alienation in Assam: As BJP sharpens ‘infiltrator’ pitch, eviction-hit voters hope for govt change","Fear and alienation in Assam: As BJP sharpens ‘infiltrator’ pitch, eviction-hit voters hope for govt change
While some lean towards Congress, doubts persist: “No one has assurances for us ... It’s a question of our children and grandchildren”
When it rained last month, says Hasida Begum (22), the wa...",1.0,False
EVT_00021,Over 27 lakh out: EC releases first data of deletions after adjudication,2026-04-07,1,1,['indian_express'],Over 27 lakh out: EC releases first data of deletions after adjudication,"Over 27 lakh out: EC releases first data of deletions after adjudication
45% of 60 lakh under adjudication deleted; highest cut by percentage in Matua-dominated Nadia
Of the 60,06,675 names under adjudication in West Bengal after they had been left out of electoral rolls, 27,16,393, or 45.22%, stand...",1.0,False
EVT_00023,"The Trinamool Congress is expecting a tough contest in Kolkata, which has been its stronghold, now that voter rolls are almost finalised with the completion of the adjudication process.",2026-04-09,1,1,['indian_express'],"The Trinamool Congress is expecting a tough contest in Kolkata, which has been its stronghold, now that voter rolls are almost finalised with the completion of the adjudication process.","The Trinamool Congress is expecting a tough contest in Kolkata, which has been its stronghold, now that voter rolls are almost finalised with the completion of the adjudication process.
Data shared by the Election Commission of India (ECI) Tuesday showed a decrease of 6,06,563 voters across the Kolk...",1.0,False
EVT_00024,"Malda, Murshidabad seats dominate Bengal voter deletions list: Here are the top 10 constituencies",2026-04-10,1,1,['indian_express'],"Malda, Murshidabad seats dominate Bengal voter deletions list: Here are the top 10 constituencies","Malda, Murshidabad seats dominate Bengal voter deletions list: Here are the top 10 constituencies
Poll panel releases Assembly constituency-level numbers; in top 10, seven seats from Murshidabad, two from Malda, and one from South 24 Parganas.
The top 10 Assembly constituencies in West Bengal where ...",1.0,False
EVT_00025,"After Amma died, my smile faded, beginning to return now (with Stalin): OPS",2026-04-11,1,1,['indian_express'],"After Amma died, my smile faded, beginning to return now (with Stalin): OPS","After Amma died, my smile faded, beginning to return now (with Stalin): OPS
Former Tamil Nadu CM Panneerselvam says his life has not changed after joining one-time rival DMK. “The ideology and core principles were always the same.""
On an interior lane in the town of Bodinayakkanur in Theni district,...",1.0,False
EVT_00026,"<p>Thiruvananthapuram: Congress leaders on Saturday decided to refrain from naming preferred candidates for the chief minister's post to avoid differences before the announcement of the <a href=""https://www.deccanherald.com/elections/kerala/kerala-vo...",2026-04-11,1,1,['deccan_herald'],"<p>Thiruvananthapuram: Congress leaders on Saturday decided to refrain from naming preferred candidates for the chief minister's post to avoid differences before the announcement of the <a href=""https://www.deccanherald.com/elections/kerala/kerala-vo...","<p>Thiruvananthapuram: Congress leaders on Saturday decided to refrain from naming preferred candidates for the chief minister's post to avoid differences before the announcement of the <a href=""https://www.deccanherald.com/elections/kerala/kerala-votes-big-after-sir-what-turnout-in-previous-electio...",1.0,False
EVT_00032,New Delhi: The public spat between M. Hazeena Syed who stepped down as chief of the Congress’s Tamil Nadu Mahila wing and Mahila Congress National President Alka Lamba has deepened the party’s troubles in the poll-bound state. The two have traded bar...,2026-04-14,1,1,['theprint'],New Delhi: The public spat between M. Hazeena Syed who stepped down as chief of the Congress’s Tamil Nadu Mahila wing and Mahila Congress National President Alka Lamba has deepened the party’s troubles in the poll-bound state. The two have traded bar...,"New Delhi: The public spat between M. Hazeena Syed who stepped down as chief of the Congress’s Tamil Nadu Mahila wing and Mahila Congress National President Alka Lamba has deepened the party’s troubles in the poll-bound state. The two have traded barbs since 10 April, when Syed lashed out at the Con...",1.0,False
EVT_00034,"'New Govt Will Have My Full Cooperation, Guidance': Nitish Kumar In His Farewell Post",2026-04-14,1,1,['news18'],"'New Govt Will Have My Full Cooperation, Guidance': Nitish Kumar In His Farewell Post","'New Govt Will Have My Full Cooperation, Guidance': Nitish Kumar In His Farewell Post
Written By :
Last Updated:
JD(U) boss Nitish Kumar said the new BJP government is ready to look after Bihar, which will continue to prosper as a lot of good work will be done in the coming days
Rapid Read
Rapid Rea...",1.0,False
EVT_00035,"Chennai: At the brink of the Tamil Nadu Assembly elections, Chief Minister M. K. Stalin issued Tuesday a “final warning from Tamil Nadu” to the Narendra Modi government against delimitation, saying it should not be pushed in this month’s special sess...",2026-04-14,1,1,['theprint'],"Chennai: At the brink of the Tamil Nadu Assembly elections, Chief Minister M. K. Stalin issued Tuesday a “final warning from Tamil Nadu” to the Narendra Modi government against delimitation, saying it should not be pushed in this month’s special sess...","Chennai: At the brink of the Tamil Nadu Assembly elections, Chief Minister M. K. Stalin issued Tuesday a “final warning from Tamil Nadu” to the Narendra Modi government against delimitation, saying it should not be pushed in this month’s special session.
In a video statement, he issued a stern final...",1.0,False
EVT_00036,Alliance Acrobatics To Exit Strategy: Has Nitish Kumar Finally Run Out Of U-Turns?,2026-04-14,1,1,['news18'],Alliance Acrobatics To Exit Strategy: Has Nitish Kumar Finally Run Out Of U-Turns?,"Alliance Acrobatics To Exit Strategy: Has Nitish Kumar Finally Run Out Of U-Turns?
Nitish Kumar's resignation from the Bihar CM’s post on April 14 marks the end of an era for a man who famously turned the political 'U-turn' into a survival strategy
Nitish Kumar, the veteran leader of the Janata Dal ...",1.0,False
EVT_00039,"Lucknow: The revised tale of the electoral tape has not brought smiles to BJP faces in Uttar Pradesh. At least, not yet.",2026-04-14,1,1,['theprint'],"Lucknow: The revised tale of the electoral tape has not brought smiles to BJP faces in Uttar Pradesh. At least, not yet.","Lucknow: The revised tale of the electoral tape has not brought smiles to BJP faces in Uttar Pradesh. At least, not yet.
The constituency-wise breakup of voter deletions in the Special Intensive Revision (SIR) of electoral rolls in Uttar Pradesh could pose a challenge for the BJP as the largest cuts...",1.0,False
EVT_00040,"<p>Bengaluru: A 43-year-old woman, who was suffering from <a href=""https://www.deccanherald.com/tags/anxiety"">anxiety</a>, killed her 13-year-old daughter before hanging herself in Whitefield on Monday night.</p><p>The deceased have been identified a...",2026-04-14,1,1,['deccan_herald'],"<p>Bengaluru: A 43-year-old woman, who was suffering from <a href=""https://www.deccanherald.com/tags/anxiety"">anxiety</a>, killed her 13-year-old daughter before hanging herself in Whitefield on Monday night.</p><p>The deceased have been identified a...","<p>Bengaluru: A 43-year-old woman, who was suffering from <a href=""https://www.deccanherald.com/tags/anxiety"">anxiety</a>, killed her 13-year-old daughter before hanging herself in Whitefield on Monday night.</p><p>The deceased have been identified as Suvarna and her daughter Tarunya, who was studyi...",1.0,False
EVT_00044,3 dead in Delhi's Rohini warehouse fire as blaze spreads to nearby huts,2026-04-15,1,1,['firstpost'],3 dead in Delhi's Rohini warehouse fire as blaze spreads to nearby huts,"A fire in a plastic warehouse in Rohini spread rapidly to nearby huts, leaving three people dead

Authorities have not yet identified the exact cause of the fire (Representational Image)

A fire in a warehouse in the Mangeram Park area of Delhi’s Rohini claimed three lives in the early hours of Wedn...",1.0,False
EVT_00047,"<p>Mumbai: Is <a href=""https://www.deccanherald.com/india/maharashtra/congress-slams-shiv-sena-ubt-for-accusing-it-of-using-regional-allies-as-crutches-3957675"">Shiv Sena (UBT)</a> chief Uddhav Thackeray is carving out a larger role for his son Aadit...",2026-04-15,1,1,['deccan_herald'],"<p>Mumbai: Is <a href=""https://www.deccanherald.com/india/maharashtra/congress-slams-shiv-sena-ubt-for-accusing-it-of-using-regional-allies-as-crutches-3957675"">Shiv Sena (UBT)</a> chief Uddhav Thackeray is carving out a larger role for his son Aadit...","<p>Mumbai: Is <a href=""https://www.deccanherald.com/india/maharashtra/congress-slams-shiv-sena-ubt-for-accusing-it-of-using-regional-allies-as-crutches-3957675"">Shiv Sena (UBT)</a> chief Uddhav Thackeray is carving out a larger role for his son Aaditya at a time when the party is going through its w...",1.0,False
